Model,Accuracy,Precision,Recall,F1 Score,CV Mean,CV Std,Training Time
Extra Trees,0.9379645898094338,0.9470198675496688,0.9278183292781833,0.9373207701761573,0.8962324567403399,0.0004427696416036686,12.89873743057251
CatBoost,0.901743478848493,0.9267662263067202,0.8723979453906461,0.8987606182982871,0.889204292743048,0.0010437305049076917,20.822012424468994
XGBoost,0.9002567914583052,0.9171597633136095,0.8799675587996756,0.8981788079470199,0.8914681898157287,0.0010775964923066539,1.0813591480255127
LightGBM,0.8902554399243141,0.9123107683518995,0.8634766153014328,0.8872222222222222,0.881398971582831,0.0025639938831418796,1.1612720489501953
Random Forest,0.8832274631706988,0.8817667654187988,0.8851040821843742,0.8834322719913653,0.8572394703130312,0.0021239141567938047,10.99589204788208
Hist Gradient Boosting,0.8817407757805109,0.9006810442678774,0.8580697485806975,0.8788591997784854,0.8770400506825704,0.0002999506690550269,2.1354446411132812
Gradient Boosting,0.8547100959589133,0.8737891737891738,0.8291430116247634,0.8508808433902066,0.8512924787055759,0.0009072915181180807,21.575910568237305
AdaBoost,0.7938910663603189,0.8137990762124712,0.7620978642876453,0.7871003769370376,0.8020948785995576,0.0020678460929684506,4.3622095584869385
Decision Tree,0.7910528449790513,0.788993288590604,0.7945390646120574,0.7917564655172413,0.772664413032222,0.003303688610002742,0.9734752178192139
Logistic Regression,0.6938775510204082,0.7097717963721475,0.655852933225196,0.6817479274975411,0.699678702638436,0.008795415485634783,0.5462994575500488
KNN,0.6764427625354777,0.6372817168104356,0.8188699648553663,0.7167534311405585,0.7115728274278337,0.002172273261448643,0.017812013626098633
Gaussian NB,0.5004730368968779,0.5002061288992716,0.9840497431738308,0.6632653061224489,0.506605790215674,0.0016385671299133375,0.03670334815979004
